,ID,Name,HashName,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
35,979,Hans Adlhoch,576d3028a7735a81ffb098ee1406cfce032db0b3c9c76eba11cd40c5fd35566c,M,41.0,177.0,70.0,Canada,CAN,1976 Summer,1976,Summer,Montreal,Shooting,"Shooting Mixed Small-Bore Rifle, Prone, 50 metres",
36,1030,Martha Adusei,2eae112a45d14916d58b0f4e85e6dd14194cc319d5dd264e1305c3441e7de2ec,F,24.0,165.0,64.0,Canada,CAN,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's 100 metres,
37,1030,Martha Adusei,2eae112a45d14916d58b0f4e85e6dd14194cc319d5dd264e1305c3441e7de2ec,F,24.0,165.0,64.0,Canada,CAN,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's 4 x 100 metres Relay,
38,1181,Meghan Christina Agosta (-Marciano),89bb665f49c3a84785a64c6204b39516a91a673ed546ed981851f209b379b774,F,18.0,168.0,67.0,Canada,CAN,2006 Winter,2006,Winter,Torino,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
39,1181,Meghan Christina Agosta (-Marciano),89bb665f49c3a84785a64c6204b39516a91a673ed546ed981851f209b379b774,F,23.0,168.0,67.0,Canada,CAN,2010 Winter,2010,Winter,Vancouver,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
40,1181,Meghan Christina Agosta (-Marciano),89bb665f49c3a84785a64c6204b39516a91a673ed546ed981851f209b379b774,F,26.0,168.0,67.0,Canada,CAN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
41,1320,Kelsie Ahbe,80c9e378adb7e55a9849dc6a7c810ec51bcb77cfc0d9c88fba7cc7868e472523,F,25.0,170.0,63.0,Canada,CAN,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Pole Vault,
42,1405,Mohammed Ahmed,095be1c4cf59fd5fb0da91880fa9ba86150e4c18f0ff1e3958915a513703548a,M,21.0,182.0,56.0,Canada,CAN,2012 Summer,2012,Summer,London,Athletics,"Athletics Men's 10,000 metres",
43,1405,Mohammed Ahmed,095be1c4cf59fd5fb0da91880fa9ba86150e4c18f0ff1e3958915a513703548a,M,25.0,182.0,56.0,Canada,CAN,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,"Athletics Men's 5,000 metres",
44,1405,Mohammed Ahmed,095be1c4cf59fd5fb0da91880fa9ba86150e4c18f0ff1e3958915a513703548a,M,25.0,182.0,56.0,Canada,CAN,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,"Athletics Men's 10,000 metres",
45,1530,"Gordon ""Gord"" Aitchison",20ee31fb28d3e7a6c4dcb845c6a09588951cae2b91ecedfe7f060efcf64fbd45,M,27.0,,,Canada,CAN,1936 Summer,1936,Summer,Berlin,Basketball,Basketball Men's Basketball,Silver
46,1561,Mobolade Abimbola Ajomale,376b84b87c56be632c814b40d778c7975a1290ad6a4ee48a43b57a5e2a47b4bb,M,20.0,180.0,62.0,Canada,CAN,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
47,1627,"Henry ""Hank"" Akervall",22382dac88043ac295278955a9ac4c8ee76c8f2ba1263c8ffa3edb37ce45554c,M,26.0,,,Canada,CAN,1964 Winter,1964,Winter,Innsbruck,Ice Hockey,Ice Hockey Men's Ice Hockey,
48,1751,Ohenewa Akuffo,1720e5d11ee880f8e461e0fad83a686ceb178b6b9d6fe14ff549ce42d22cc443,F,29.0,169.0,72.0,Canada,CAN,2008 Summer,2008,Summer,Beijing,Wrestling,"Wrestling Women's Heavyweight, Freestyle",
49,2330,Joseph Marc Albert,cffdb243c688ddad0955ac08d9cbf3ad7fd243051be065c2b2a5a4a80c6f1910,M,30.0,200.0,89.0,Canada,CAN,1992 Summer,1992,Summer,Barcelona,Volleyball,Volleyball Men's Volleyball,
50,2332,Martine Albert,af09a5fa4cfd521dca257a4f9dafd898add4b0fc967cbd67ce4d95917f17275f,F,32.0,155.0,47.0,Canada,CAN,2006 Winter,2006,Winter,Torino,Biathlon,Biathlon Women's 7.5 kilometres Sprint,
51,2332,Martine Albert,af09a5fa4cfd521dca257a4f9dafd898add4b0fc967cbd67ce4d95917f17275f,F,32.0,155.0,47.0,Canada,CAN,2006 Winter,2006,Winter,Torino,Biathlon,Biathlon Women's 15 kilometres,
52,2332,Martine Albert,af09a5fa4cfd521dca257a4f9dafd898add4b0fc967cbd67ce4d95917f17275f,F,32.0,155.0,47.0,Canada,CAN,2006 Winter,2006,Winter,Torino,Biathlon,Biathlon Women's 4 x 6 kilometres Relay,
53,2333,"Richard ""Rick"" Albert",afcec53151046f20873b1433e111736e9669704799ad6b48b009764de9230bbe,M,24.0,183.0,70.0,Canada,CAN,1988 Summer,1988,Summer,Seoul,Hockey,Hockey Men's Hockey,
54,2370,Grant Albrecht,1193a79071a24c8804eddf51ab9547f000469f158ae90f0b259fc531f634a9ec,M,21.0,193.0,93.0,Canada-2,CAN,2002 Winter,2002,Winter,Salt Lake City,Luge,Luge Mixed (Men)'s Doubles,
55,2370,Grant Albrecht,1193a79071a24c8804eddf51ab9547f000469f158ae90f0b259fc531f634a9ec,M,25.0,193.0,93.0,Canada-1,CAN,2006 Winter,2006,Winter,Torino,Luge,Luge Mixed (Men)'s Doubles,
56,2409,Lindsay Alcock,86aa24c550cb5f642044bd755b4a35081bc9a11117bde287874de2d33b4adb3d,F,24.0,170.0,68.0,Canada,CAN,2002 Winter,2002,Winter,Salt Lake City,Skeleton,Skeleton Women's Skeleton,
57,2409,Lindsay Alcock,86aa24c550cb5f642044bd755b4a35081bc9a11117bde287874de2d33b4adb3d,F,28.0,170.0,68.0,Canada,CAN,2006 Winter,2006,Winter,Torino,Skeleton,Skeleton Women's Skeleton,
58,2452,"Ronald Charles ""Ron"" Aldridge",40d08d9c24bcc1699181da9c782ec4d519f4a587fa81c9afbbdd059c7cb54fb1,M,31.0,180.0,67.0,Canada,CAN,1964 Summer,1964,Summer,Tokyo,Hockey,Hockey Men's Hockey,
59,2572,"John W. ""Jack"" Alexander",093476b5cd0c8b6543b41e7a4e52d4fd4d3f0fddf5bded904022ed4ef160a4d1,M,21.0,182.0,69.0,Canada,CAN,1976 Summer,1976,Summer,Montreal,Modern Pentathlon,Modern Pentathlon Men's Individual,
60,2572,"John W. ""Jack"" Alexander",093476b5cd0c8b6543b41e7a4e52d4fd4d3f0fddf5bded904022ed4ef160a4d1,M,21.0,182.0,69.0,Canada,CAN,1976 Summer,1976,Summer,Montreal,Modern Pentathlon,Modern Pentathlon Men's Team,
61,2575,Lisa Alexander,255aa2d5f199caab7be4b96034f27050983ca3edc5025c33ca5485d9f8f52435,F,27.0,172.0,58.0,Canada,CAN,1996 Summer,1996,Summer,Atlanta,Synchronized Swimming,Synchronized Swimming Women's Team,Silver
62,2577,Morgan Alexander,6f2694fdee2f150416e14eb150b8f2dbe2e2cb1b95eeefacc4a2a6a3c8799ae6,M,23.0,182.0,92.0,Canada-1,CAN,2006 Winter,2006,Winter,Torino,Bobsleigh,Bobsleigh Men's Four,
